schema_version,horizon,property,expected_answer,external_answer,earliest_bad_frame,model_bytes,evidence_bytes,deterministic,independently_verified,status
1,4,wake,SAFE,UNSAT,none,29104,22853,true,true,validated
1,4,bark,SAFE,UNSAT,none,27853,19422,true,true,validated
1,4,bite,SAFE,UNSAT,none,27854,19451,true,true,validated
1,5,wake,SAFE,UNSAT,none,29133,22108,true,true,validated
1,5,bark,UNSAFE,SAT,5,27882,138,true,true,validated
1,5,bite,SAFE,UNSAT,none,27883,18990,true,true,validated
1,7,wake,UNSAFE,SAT,7,29091,144,true,true,validated
1,7,bark,UNSAFE,SAT,5,27840,138,true,true,validated
1,7,bite,SAFE,UNSAT,none,27841,18318,true,true,validated
1,9,wake,UNSAFE,SAT,7,29147,144,true,true,validated
1,9,bark,UNSAFE,SAT,5,27896,150,true,true,validated
1,9,bite,UNSAFE,SAT,9,27897,150,true,true,validated
